,录取学校,,,,Offer数
1,Peddie School(NJ) ,1,,,1
2,Episcopal High School(VA) ,3,,,3
3,Western Reserve Academy(OH) ,3,1,,4
4,The Webb Schools(CA) ,8,,,8
5,Stevenson School(CA) ,1,,,1
6,Emma Willard School (NJ),1,1,1,3
7,Miss Porter's School(CT) ,1,1,1,3
8,Oregon Episcopal School(OR) ,4,3,1,8
9,Culver Academies(IN) ,7,,,7
10,Cranbrook School(MI) ,4,,,6
11,The Madeira School(VA) ,4,,,4
12,The Athenian School(CA）,1,,,1
13,The Hun School of Princeton(NJ) ,1,,,1
14,Canterbury School(CT) ,1,,,1
15,Virginia Episcopal School(VA) ,1,,,1
16,Interlochen Arts Academy(MI) ,1,,,1
17,Idyllwild Arts Academy(CA) ,1,,,1
18,McCallie School（TN）  ,1,2,1,4
19,Indian Springs School(AL) ,1,1,1,3
20,Iolani School（Hawaii）,8,3,1,12
21,Lake Forest Academy(IL),2,1,1,4
22,Kimball Union Academy(NH),2,1,1,4
23,Millbrook School(NY) ,1,,1,2
24,The Ethel Walker School(CT) ,1,1,,2
25,Miss Hall’s School(MA) ,5,,,5
26,St. Johnsbury Academy(VT) ,1,1,,2
27,Santa Catalina School(CA) ,1,,,1
28,Baylor School(TN) ,3,1,,4
29,Wilbraham & Monson Academy(MA)  ,2,1,,3
30,Saint James School(MD),,1,,1
31,Asheville School(NC),,,1,1
32,St. Mark’s School(MA) ,3,,,3
33,Westminster School(CT) ,2,,,2
34,Northﬁeld Mount HermonSchool(MA) ,,,,2
35,The Governor's Academy(MA),2,,,2
36,Kent School(CT) ,3,,,3
37,St. Andrew’s School(DE) ,2,,1,3
38,Pomfret School(CT) ,1,,1,2
39,Mercersburg Academy(PA) ,3,,,3
40,Westtown School(PA) ,3,1,,4
41,Williston Northampton School(MA) ,3,,1,4
42,Tabor Academy(MA) ,3,,1,4
43,George School(PA) ,3,,,3
44,The Stony Brook School(NY) ,7,1,1,9
45,Walnut Hill School for the Arts(MA) ,3,,,3
46,The Masters School(NJ),,1,,1
47,Miss Porter's School(CT) ,,,,3
48,The Madeira School(VA) ,,,,4
49,Emma Willard School(NJ),,,,3
50,The Ethel Walker School(CT) ,,,,2
51,McCallie School（TN）  ,,,,3
52,Miss Hall’s School(MA) ,,,,5
53,Georgetown Preparatory School(MD) ,1,,,1
54,Phillips Academy Andover(MA) ,1,,,1
55,The Lawrenceville School（NJ）,,,,1
56,Choate Rosemary Hall(CT) ,3,,,3
57,Groton School(MA) ,1,,,1
58,The Hotchkiss School(CT) ,2,,,2
59,Concord Academy(MA) ,1,,,1
60,Middlesex School(MA) ,1,,,1
61,Deerﬁeld Academy(MA) ,3,,,4
62,The Hill School(PA) ,2,,,2
63,The Taft School(CT) ,2,,,2
64,Fay School(MA),1,,1,2
65,The Rectory School(CT),2,1,,3
66,Cardigan Mountain School(NH),1,,,1
67,Hillside School(MA),2,,,2
68, Applewild School(MA),1,1,,2
69,North Country School(NY),,,1,1
70,Eaglebrook School(MA),,,,1
71,The Bement  School(MA),,,,1
72,Havergal College ,1,,,1
73,Ridley College ,1,,,1
74,Ashbury College,1,,,1
75,Georges Vanier Secondary School ,1,,,1
76,La Jolla Country Day School(CA),,,2,2
77,Francis Parker School (CA),,,2,2
78,The Waverly School(CA),,1,,1
79,Windermere Preparatory School(FL),,,1,1
80,America Heritage Schools(FL),,,1,1
81,The Bishop's School(CA),36,,,2
